"sponsor_id","sponsor_name","industry_type","contact_email","phone"
1,"Nike","Sportswear","nike@sports.com","1234567890"
2,"Adidas","Sportswear","contact@adidas.com","2345678901"
3,"Red Bull","Energy","info@redbull.com","3456789012"
4,"Puma","Sportswear","support@puma.com","4567890123"
5,"Under Armour","Sportswear","hello@underarmour.com","5678901234"
6,"Coca Cola","Beverages","contact@coca-cola.com","6789012345"
7,"Pepsi","Beverages","pepsi@contact.com","7890123456"
8,"Samsung","Electronics","samsung@sponsor.com","8901234567"
9,"Sony","Electronics","support@sony.com","9012345678"
10,"Visa","Financial Services","info@visa.com","1234567890"
